date,tier,benchmark,iters,total_us,per_iter_ns
2026-04-16,tier1-construct,cmd_create,100000,18671,187
2026-04-16,tier1-construct,config_default,100000,22734,227
2026-04-16,tier1-construct,source_to_str,100000,291,3
2026-04-16,tier1-construct,group_meta_pkg,100000,6772,68
2026-04-16,tier2-package-db,db_search_20,10000,12394,1239
2026-04-16,tier2-package-db,db_total_size_20,10000,6156,616
2026-04-16,tier2-package-db,db_integrity_20,10000,10050,1005
2026-04-16,tier3-transaction,txn_begin_commit,10000,12506,1251
2026-04-16,tier3-transaction,output_display,10000,6566,657
2026-04-16-post,tier1-construct,cmd_create,100000,19430,194
2026-04-16-post,tier1-construct,config_default,100000,22828,228
2026-04-16-post,tier1-construct,source_to_str,100000,416,4
2026-04-16-post,tier1-construct,group_meta_pkg,100000,7082,71
2026-04-16-post,tier2-package-db,db_search_20,10000,19453,1945
2026-04-16-post,tier2-package-db,db_total_size_20,10000,6068,607
2026-04-16-post,tier2-package-db,db_integrity_20,10000,10771,1077
2026-04-16-post,tier3-transaction,txn_begin_commit,10000,11156,1116
2026-04-16-post,tier3-transaction,output_display,10000,6508,651
2026-06-20,tier1-construct,cmd_create,100000,71378,714
2026-06-20,tier1-construct,config_default,100000,71566,716
2026-06-20,tier1-construct,source_to_str,100000,9685,97
2026-06-20,tier1-construct,group_meta_pkg,100000,5635,56
2026-06-20,tier2-package-db,db_search_20,10000,24466,2447
2026-06-20,tier2-package-db,db_total_size_20,10000,8658,866
2026-06-20,tier2-package-db,db_integrity_20,10000,45178,4518
2026-06-20,tier3-transaction,txn_begin_commit,10000,27924,2792
2026-06-20,tier3-transaction,output_display,10000,13277,1328
